"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/10/2016","AQS","060131002","1","0.046","ppm","43","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/11/2016","AQS","060131002","1","0.047","ppm","44","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/12/2016","AQS","060131002","1","0.043","ppm","40","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/13/2016","AQS","060131002","1","0.043","ppm","40","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/14/2016","AQS","060131002","1","0.042","ppm","39","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/15/2016","AQS","060131002","1","0.035","ppm","32","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/16/2016","AQS","060131002","1","0.042","ppm","39","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/17/2016","AQS","060131002","1","0.034","ppm","31","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/18/2016","AQS","060131002","1","0.049","ppm","45","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/19/2016","AQS","060131002","1","0.049","ppm","45","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/20/2016","AQS","060131002","1","0.05","ppm","46","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
"06/21/2016","AQS","060131002","1","0.053","ppm","49","Bethel Island","17","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","38.006311","-121.641918"
