Date,Daily_Mean_PM10_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY,Daily_Max_1-hour_NO2_Concentration,Daily_Max_8-hour_Ozone_Concentration,Daily_Mean_PM2.5_Concentration,Daily_Max_8-hour_CO_Concentration,Daily_Max_1-hour_SO2_Concentration
07/09/2018,,ug/m3 LC,38,San Francisco,San Francisco,,,9.0,,
07/10/2018,,ug/m3 LC,35,San Francisco,San Francisco,,,8.5,,
07/11/2018,,ug/m3 LC,20,San Francisco,San Francisco,,,4.8,,
07/12/2018,,ug/m3 LC,23,San Francisco,San Francisco,,,5.4,,
07/13/2018,,ug/m3 LC,16,San Francisco,San Francisco,,,3.9,,
07/14/2018,,ug/m3 LC,10,San Francisco,San Francisco,,,2.4,,
07/15/2018,,ug/m3 LC,27,San Francisco,San Francisco,,,6.4,,
07/16/2018,,ug/m3 LC,24,San Francisco,San Francisco,,,5.8,,
07/17/2018,,ug/m3 LC,21,San Francisco,San Francisco,,,5.1,,
07/18/2018,,ug/m3 LC,28,San Francisco,San Francisco,,,6.6,,
07/19/2018,,ug/m3 LC,28,San Francisco,San Francisco,,,6.7,,
07/20/2018,,ug/m3 LC,26,San Francisco,San Francisco,,,6.2,,
07/21/2018,,ug/m3 LC,14,San Francisco,San Francisco,,,3.3,,
07/22/2018,,ug/m3 LC,21,San Francisco,San Francisco,,,5.0,,
07/23/2018,,ug/m3 LC,35,San Francisco,San Francisco,,,8.5,,
07/24/2018,,ug/m3 LC,43,San Francisco,San Francisco,,,10.2,,
07/25/2018,,ug/m3 LC,31,San Francisco,San Francisco,,,7.4,,
07/26/2018,,ug/m3 LC,38,San Francisco,San Francisco,,,9.1,,
07/27/2018,,ug/m3 LC,28,San Francisco,San Francisco,,,6.6,,
07/28/2018,,ug/m3 LC,23,San Francisco,San Francisco,,,5.6,,
07/29/2018,,ug/m3 LC,13,San Francisco,San Francisco,,,3.0,,
07/30/2018,,ug/m3 LC,28,San Francisco,San Francisco,,,6.8,,
07/31/2018,,ug/m3 LC,27,San Francisco,San Francisco,,,6.4,,
08/01/2018,,ug/m3 LC,27,San Francisco,San Francisco,,,6.5,,
08/02/2018,,ug/m3 LC,31,San Francisco,San Francisco,,,7.5,,
08/03/2018,,ug/m3 LC,53,San Francisco,San Francisco,,,12.9,,
08/04/2018,,ug/m3 LC,37,San Francisco,San Francisco,,,8.9,,
08/05/2018,,ug/m3 LC,29,San Francisco,San Francisco,,,7.0,,
08/06/2018,,ug/m3 LC,29,San Francisco,San Francisco,,,6.9,,
08/07/2018,,ug/m3 LC,19,San Francisco,San Francisco,,,4.5,,
08/08/2018,,ug/m3 LC,18,San Francisco,San Francisco,,,4.3,,
08/09/2018,,ug/m3 LC,14,San Francisco,San Francisco,,,3.3,,
